featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,ES,MED,5896,Triturus pygmaeus,"IAS union concern :  Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852; Trachemys scripta Schoepff, 1792;
","Algunas especies exóticas invasoras son un vector de enfermedades infecciosas muy perjudiciales para los anfibios, como el ranavirus o el hongo quitridio (Palomar et al., 2016; Miller et al., 2011; Pounds et al., 2006; Bosch et al., 2001, 2006).
El cangrejo rojo americano (Procambarus clarkii) supone un factor de riesgo muy dañino para anfibios autóctonos en el Suroeste peninsular (Cruz et al., 2005).",Yes
species,ES,MED,7004,Ionopsidium savianum,,,Yes
species,ES,MMAC,1349,Tursiops truncatus,,Criterio experto,Yes
species,ES,MMAC,2033,Steno bredanensis,,,Yes
species,ES,MMAC,2622,Kogia breviceps,,,No
species,ES,MMAC,2627,Globicephala macrorhynchus,,,Yes
species,ES,MMED,2035,Ziphius cavirostris,,,Yes
species,FI,ALP,1015,Vertigo genesii,,,Yes
species,FI,ALP,1352,Canis lupus,,"Kojola, I., Heikkinen. S. & Kaartinen, S. 2018: Suurpetojen vaikutus poronhoitoon. Luonnonvara- ja biotalouden tutkimus 57/2018. 22 p.",Yes
species,FI,ALP,1982,Encalypta mutica,,,Yes
species,FI,BOR,1032,Unio crassus,,,Yes
species,FI,BOR,1413,Lycopodium spp.,,,Yes
species,FI,BOR,1910,Pteromys volans,,,Yes
species,FI,BOR,1920,Boros schneideri,,,Yes
species,FI,BOR,1960,Hippuris tetraphylla,,,Yes
species,FI,BOR,1966,Persicaria foliosa,,,Yes
species,FR,ALP,1061,Maculinea nausithous,,,Yes
species,FR,ALP,1331,Nyctalus leisleri,,,Yes
species,FR,ALP,1368,Capra pyrenaica,,"Gonzalez G., Crampe J.P & Garnier A. 2019. Capra pyrenaica, Bouquetin ibérique. Atlas des Mammifères de France. Volume II, MNHN-SFEPM ",Yes
